pixel_id,skycell,sx_i,sy_i,n_in_bin,worst_frac_dist,worst_disagree,worst_d_tess_mean,typical_disagree_median,frac_span_x,frac_span_y
ffi_edge,skycell.2625.004,0,0,70,1.1503078583698558,0.013666666666666667,0.013812717645917082,0.0057,0.7449093421719226,0.9274466762653901
ffi_edge,skycell.2625.004,0,1,16,0.42522889995438506,0.006666666666666667,0.005104425803030256,0.002,0.13578984198329636,0.41881618768093176
ffi_edge,skycell.2625.004,1,-1,83,1.223403429316789,0.017066666666666667,0.014737058236727465,0.005900000000000001,0.9325327475385166,0.8657592890958767
ffi_edge,skycell.2625.004,2,-2,49,0.9961310326724317,0.0132,0.01186962177859001,0.005366666666666667,0.8155913961904844,0.6002255900639284
ffi_edge,skycell.2625.004,2,-1,10,0.2337734605940021,0.0026,0.0027458798869841434,0.0012000000000000001,0.1683914224140608,0.16254600823231158
ffi_edge,skycell.2625.004,3,-2,45,1.0173117313195152,0.0146,0.01219582671680769,0.005366666666666667,0.9418539610674088,0.4204973120977229
ffi_edge,skycell.2625.004,4,-3,9,0.632818813963184,0.0092,0.007577677752276458,0.0027,0.5512347934527497,0.3579560082689568
ffi_edge,skycell.2625.004,4,-2,10,0.36653460902874796,0.0071333333333333335,0.004383445170867781,0.003266666666666667,0.3565939262834945,0.10953877071005991
projection_boundary_0a,skycell.2581.050,-2,-2,70,1.0172599612161124,0.0134,0.012978110573889623,0.0046,0.49924231198747293,0.9315993688501294
projection_boundary_0a,skycell.2581.050,-2,-1,64,1.0599102701290661,0.0158,0.013531005435082854,0.0058,0.4084951666955021,0.9985248027628586
projection_boundary_0a,skycell.2581.050,-2,0,59,1.011954574024187,0.0162,0.01292123566662544,0.006933333333333333,0.25517895451412187,0.9921446335692963
projection_boundary_0a,skycell.2581.050,-2,1,36,1.0824776866513446,0.018333333333333333,0.013456664741771077,0.0072,0.6931752289965516,0.9142819355902247
projection_boundary_0a,skycell.2581.050,-2,2,10,0.9663958868822571,0.0152,0.01198876265950407,0.004999999999999999,0.6416835798227112,0.7628080986396526
projection_boundary_0a,skycell.2581.050,-1,-3,47,1.1819007451463535,0.020133333333333333,0.014833657185459176,0.0058,0.9447545535258541,0.7347971008175591
projection_boundary_0a,skycell.2581.050,-1,-2,6,0.09776293633721421,0.0014666666666666667,0.0012065128791301804,0.0007666666666666667,0.09450854222814087,0.07984232484886888
projection_boundary_0a,skycell.2581.050,-1,2,4,0.477355130149424,0.007266666666666667,0.005923675053306103,0.003933333333333333,0.29206984296251903,0.3775753264076229
